Date,adj close,close,high,low,open,volume,body,upper_wick,lower_wick,range,bullish,bearish,returns,log_returns,sma_20,ema_20,ema_50,rsi,macd,macd_signal,macd_hist,bb_high,bb_low,bb_mid,atr,obv,future_close,target
2021-07-23,15856.0498046875,15856.0498046875,15899.7998046875,15768.400390625,15856.7998046875,294100,0.75,43.0,87.6494140625,131.3994140625,0,1,0.002022238326785386,0.0020201963552988087,15788.4125,15781.42371900508,,54.980279835553674,31.359008590612575,35.97705927651979,-4.618050685907214,15952.773293683698,15624.051706316302,15788.4125,141.74867035413993,793900,15824.4501953125,0
2021-07-26,15824.4501953125,15824.4501953125,15893.349609375,15797.0,15849.2998046875,267100,24.849609375,44.0498046875,27.4501953125,96.349609375,0,1,-0.0019929055322251976,-0.001994894010794567,15786.617529296875,15785.521478653405,,53.17932242094382,31.20726427347654,35.02310027591114,-3.815836002434601,15948.56300276457,15624.67205582918,15786.617529296875,138.50588028420137,526800,15746.4501953125,0
2021-07-27,15746.4501953125,15746.4501953125,15881.5498046875,15701.0,15860.5,311000,114.0498046875,21.0498046875,45.4501953125,180.5498046875,0,1,-0.004929081202650898,-0.004941269190283573,15783.205029296874,15781.800404049509,,48.91963909367799,24.510515714198846,32.92058336356868,-8.410067649369836,15945.515569525935,15620.894489067814,15783.205029296874,141.50901774157984,215800,15709.400390625,0
2021-07-28,15709.400390625,15709.400390625,15767.5,15513.4501953125,15761.5498046875,318600,52.1494140625,5.9501953125,195.9501953125,254.0498046875,0,1,-0.002352898858342667,-0.0023556712745251398,15781.2525390625,15774.905164675745,,46.99409354988666,16.028913298507177,29.542249350556382,-13.513336052049205,15946.10795401096,15616.397124114039,15781.2525390625,149.54764538057412,-102800,15778.4501953125,1
2021-07-29,15778.4501953125,15778.4501953125,15817.349609375,15737.7998046875,15762.7001953125,401600,15.75,38.8994140625,24.900390625,79.5498046875,1,0,0.004395444954646832,0.0043858132000563635,15784.100048828124,15775.24278664115,,50.8750095660594,14.709364049906071,26.57567229042632,-11.866308240520247,15946.680404442151,15621.519693214097,15784.100048828124,146.57632919267598,298800,15763.0498046875,0
2021-07-30,15763.0498046875,15763.0498046875,15862.7998046875,15744.849609375,15800.599609375,400000,37.5498046875,62.2001953125,18.2001953125,117.9501953125,0,1,-0.000976039499086867,-0.000976516135808173,15788.2525390625,15774.081550264613,,49.99578992960283,12.279379898722254,23.71641381208551,-11.437033913363255,15944.087894015955,15632.417184109045,15788.2525390625,144.531605344092,-101200,15885.150390625,1
2021-08-02,15885.150390625,15885.150390625,15892.900390625,15834.650390625,15874.900390625,244800,10.25,7.75,40.25,58.25,1,0,0.007746000136419795,0.007716153904229494,15796.400048828125,15784.65953506084,,56.42555924609544,19.975827890402797,22.968296627748966,-2.9924687373461687,15954.591029912564,15638.209067743686,15796.400048828125,143.482961100764,143600,16130.75,1
2021-08-03,16130.75,16130.75,16146.900390625,15914.349609375,15951.5498046875,341300,179.2001953125,16.150390625,37.2001953125,232.55078125,1,0,0.015460955882416139,0.015342653128218075,15811.220068359375,15817.620531721712,,65.91852322054825,45.370155379434436,27.44866837808606,17.921487001348375,16026.198668972129,15596.24146774662,15811.220068359375,151.9306067364237,484900,16258.7998046875,1
2021-08-04,16258.7998046875,16258.7998046875,16290.2001953125,16176.150390625,16195.25,427300,63.5498046875,31.400390625,19.099609375,114.0498046875,1,0,0.007938242467802281,0.007906900379200192,15833.24755859375,15859.6376053375,,69.63307761405771,74.96375643133251,36.951685988735356,38.01207044259716,16123.6448683331,15542.8502488544,15833.24755859375,152.46772020614344,912200,16294.599609375,1
2021-08-05,16294.599609375,16294.599609375,16349.4501953125,16210.2998046875,16288.9501953125,418200,5.6494140625,54.8505859375,78.650390625,139.150390625,1,0,0.0022018725316477195,0.002199451962862978,15853.99501953125,15901.062558102978,,70.59791229634693,100.15116325411509,49.59158144181131,50.55958181230378,16207.190811338498,15500.799227724003,15853.99501953125,151.5164823789189,1330400,16238.2001953125,0
2021-08-06,16238.2001953125,16238.2001953125,16336.75,16223.2998046875,16304.400390625,320100,66.2001953125,32.349609375,14.900390625,113.4501953125,0,1,-0.003461233501561467,-0.0034672374282357825,15879.510009765625,15933.170904503884,15794.70830088408,66.9869658133072,114.24446419285596,62.52215799202024,51.72230620083572,16264.848770825716,15494.171248705534,15879.510009765625,148.79746187417473,1010300,16258.25,1
2021-08-09,16258.25,16258.25,16320.75,16179.0498046875,16281.349609375,240500,23.099609375,39.400390625,79.2001953125,141.7001953125,0,1,0.0012347307242392969,0.0012339690711517842,15907.93251953125,15964.130818360656,15812.886406731763,67.62100026854338,125.58370759066929,75.13446791175005,50.44923967891924,16316.277236881931,15499.58780218057,15907.93251953125,148.29051426262654,1250800,16280.099609375,1
2021-08-10,16280.099609375,16280.099609375,16359.25,16202.25,16274.7998046875,288000,5.2998046875,79.150390625,72.5498046875,157.0,1,0,0.0013439090538649445,0.0013430068163520583,15937.30751953125,15994.223084171546,15831.208493109929,68.33472202670966,134.77956561499013,87.06348745239808,47.716078162592055,16363.595992048968,15511.019047013533,15937.30751953125,148.91262038672465,1538800,16282.25,1
2021-08-11,16282.25,16282.25,16338.75,16162.5498046875,16327.2998046875,277900,45.0498046875,11.4501953125,119.7001953125,176.2001953125,0,1,0.00013208706805212245,0.00013207834532344713,15960.8025390625,16021.654219012351,15848.896395340911,68.40852837695405,140.61988935210684,97.77476783233983,42.845121519767005,16408.22623661847,15513.37884150653,15960.8025390625,150.8617328814229,1816700,16364.400390625,1
2021-08-12,16364.400390625,16364.400390625,16375.5,16286.900390625,16303.650390625,280200,60.75,11.099609375,16.75,88.599609375,1,0,0.005045395484346349,0.005032710127087298,15986.325048828125,16054.29671154689,15869.112238293228,71.17285302158379,150.14644322047934,108.24910290996775,41.897340310511595,16463.68982716845,15508.960270487798,15986.325048828125,146.7466091041784,2096900,16529.099609375,1
2021-08-13,16529.099609375,16529.099609375,16543.599609375,16376.2998046875,16385.69921875,321900,143.400390625,14.5,9.3994140625,167.2998046875,1,0,0.010064482340847336,0.010014172717061967,16016.57001953125,16099.516035149565,15894.994095982709,75.75357107825434,169.03759611483838,120.40680155094188,48.6307945638965,16547.95222079422,15485.187818268278,16016.57001953125,149.0646526503085,2418800,16563.05078125,1
2021-08-16,16563.05078125,16563.05078125,16589.400390625,16480.75,16518.400390625,254000,44.650390625,26.349609375,37.650390625,108.650390625,1,0,0.002054024277023725,0.0020519176533692787,16048.5525390625,16143.662201444846,15921.192397365741,76.57974490788436,184.62035814899718,133.24951287055293,51.37084527844425,16628.43842976208,15468.666648362918,16048.5525390625,146.17791964850073,2672800,16614.599609375,1
